,content,tags,question
247,The ATL P3-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P3-2', 'probes'})",What is the current availability status of the ATL P3-2 probe?
248,The ATL P3-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P3-2', 'probes'})",Can you purchase the ATL P3-2 probe?
249,The frequency range of the ATL P3-2 probe is 2.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'P3-2', 'probes'})",What is the frequency range of the ATL P3-2 probe?
250,The frequency range of the ATL P3-2 probe is 2.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'P3-2', 'probes'})",Is the frequency range of the ATL P3-2 probe greater than or equal to 2.0 MHz?
251,The frequency range of the ATL P3-2 probe is 2.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'P3-2', 'probes'})",Does the frequency range of the ATL P3-2 probe exceed 10.0 MHz?
252,The manufacturer of the P4-1 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-1', 'probes'})",Who is the manufacturer of the P4-1 probe?
253,The manufacturer of the P4-1 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-1', 'probes'})",Is the P4-1 probe made by ATL?
254,The manufacturer of the P4-1 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-1', 'probes'})",Does the P4-1 probe have a manufacturer?
255,The ATL P4-1 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'P4-1', 'compatibility'})",What systems is the ATL P4-1 probe compatible with?
256,The ATL P4-1 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'P4-1', 'compatibility'})",Is the ATL P4-1 probe compatible with the HDI 5000 system?
257,The ATL P4-1 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'P4-1', 'compatibility'})",Which systems does the ATL P4-1 transducer work with?
258,The ATL P4-1 is a phased array type probe.,"frozenset({'ATL', 'P4-1', 'array type', 'probes'})",What type of array is the ATL P4-1?
259,The ATL P4-1 is a phased array type probe.,"frozenset({'ATL', 'P4-1', 'array type', 'probes'})",Is the ATL P4-1 a phased array transducer?
260,The ATL P4-1 is a phased array type probe.,"frozenset({'ATL', 'P4-1', 'array type', 'probes'})",What kind of array does the ATL P4-1 use?
261,"The ATL P4-1 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'ATL', 'probes', 'P4-1', 'applications'})",What applications can the ATL P4-1 probe be used for?
262,"The ATL P4-1 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'ATL', 'probes', 'P4-1', 'applications'})",Can the ATL P4-1 probe be used for cardiac applications?
263,"The ATL P4-1 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'ATL', 'probes', 'P4-1', 'applications'})",Are there any specific types of probes the ATL P4-1 is suitable for?
264,The ATL P4-1 probe is currently in stock and available for sale.,"frozenset({'ATL', 'P4-1', 'stock', 'probes'})",Is the ATL P4-1 probe currently in stock?
265,The ATL P4-1 probe is currently in stock and available for sale.,"frozenset({'ATL', 'P4-1', 'stock', 'probes'})",Can you buy the ATL P4-1 probe?
266,The ATL P4-1 probe is currently in stock and available for sale.,"frozenset({'ATL', 'P4-1', 'stock', 'probes'})",Are there any ATL P4-1 probes available for sale?
267,The frequency range of the ATL P4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'ATL', 'P4-1', 'frequency', 'probes'})",What is the frequency range of the ATL P4-1 probe?
268,The frequency range of the ATL P4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'ATL', 'P4-1', 'frequency', 'probes'})",Is the frequency range of the ATL P4-1 probe above 4.0 MHz?
269,The frequency range of the ATL P4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'ATL', 'P4-1', 'frequency', 'probes'})",What is the minimum frequency range of the ATL P4-1 probe?
270,The manufacturer of the P4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-2', 'probes'})",Who is the manufacturer of the P4-2 probe?
271,The manufacturer of the P4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-2', 'probes'})",Can the P4-2 probe be used for cardiac applications?
272,The manufacturer of the P4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-2', 'probes'})",Is the manufacturer of the P4-2 probe ATL?
273,The ATL P4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P4-2', 'ATL', 'probes', 'compatibility'})",What systems are compatible with the ATL P4-2 probe?
274,The ATL P4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P4-2', 'ATL', 'probes', 'compatibility'})",Is the ATL P4-2 probe suitable for use with the HDI 5000 system?
275,The ATL P4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P4-2', 'ATL', 'probes', 'compatibility'})",Can you find the ATL P4-2 transducer on stock?
276,The ATL P4-2 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P4-2', 'probes'})",What type of array is the ATL P4-2?
277,The ATL P4-2 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P4-2', 'probes'})",Is the ATL P4-2 probe a phased array transducer?
278,The ATL P4-2 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P4-2', 'probes'})",What kind of array does the ATL P4-2 use?
279,"The ATL P4-2 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'P4-2', 'ATL', 'probes', 'applications'})",What applications is the ATL P4-2 probe suitable for?
280,"The ATL P4-2 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'P4-2', 'ATL', 'probes', 'applications'})",Can the ATL P4-2 probe be used for cardiac applications?
281,"The ATL P4-2 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'P4-2', 'ATL', 'probes', 'applications'})",What type of probes does the ATL P4-2 fall under?
282,The ATL P4-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P4-2', 'probes'})",Is the ATL P4-2 probe currently available for sale?
283,The ATL P4-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P4-2', 'probes'})",What is the availability status of the ATL P4-2 probe?
284,The ATL P4-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P4-2', 'probes'})",Are there any ATL P4-2 probes available for purchase?
285,The frequency range of the ATL P4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'P4-2', 'probes'})",What is the frequency range of the ATL P4-2 probe?
286,The frequency range of the ATL P4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'P4-2', 'probes'})",Is the frequency range of the ATL P4-2 transducer above or below 5.0 MHz?
287,The frequency range of the ATL P4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'P4-2', 'probes'})",What is the minimum frequency range of the ATL P4-2 probe?
288,The manufacturer of the P5-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P5-3', 'probes'})",Who is the manufacturer of the P5-3 probe?
289,The manufacturer of the P5-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P5-3', 'probes'})",Can the P5-3 probe be used for cardiac applications?
290,The manufacturer of the P5-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P5-3', 'probes'})",Is the manufacturer of the P5-3 probe ATL?
291,The ATL P5-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P5-3', 'ATL', 'probes', 'compatibility'})",What systems is the ATL P5-3 probe compatible with?
292,The ATL P5-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P5-3', 'ATL', 'probes', 'compatibility'})",Is the ATL P5-3 probe compatible with the HDI 5000 system?
293,The ATL P5-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P5-3', 'ATL', 'probes', 'compatibility'})",Does the ATL P5-3 transducer support the HDI 5000 platform?
294,The ATL P5-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P5-3', 'probes'})",What type of array is the ATL P5-3 probe?
295,The ATL P5-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P5-3', 'probes'})",Is the ATL P5-3 probe suitable for cardiac applications?
296,The ATL P5-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P5-3', 'probes'})",What kind of transducer is the ATL P5-3?
297,"The ATL P5-3 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'P5-3', 'ATL', 'probes', 'applications', 'cardiac, abdominal'})",What applications is the ATL P5-3 probe suitable for?
298,"The ATL P5-3 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'P5-3', 'ATL', 'probes', 'applications', 'cardiac, abdominal'})",Can the ATL P5-3 probe be used for abdominal imaging?
299,"The ATL P5-3 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'P5-3', 'ATL', 'probes', 'applications', 'cardiac, abdominal'})",What types of images does the ATL P5-3 probe produce?
300,The ATL P5-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P5-3', 'stock', 'probes'})",Is the ATL P5-3 probe currently available for sale?
301,The ATL P5-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P5-3', 'stock', 'probes'})",What type of transducer is the ATL P5-3?
302,The ATL P5-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P5-3', 'stock', 'probes'})",Is the ATL P5-3 probe out of stock?
303,The frequency range of the ATL P5-3 probe is 3.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'P5-3', 'probes'})",What is the frequency range of the ATL P5-3 probe?
304,The frequency range of the ATL P5-3 probe is 3.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'P5-3', 'probes'})",Is the frequency range of the ATL P5-3 transducer within a certain range?
305,The frequency range of the ATL P5-3 probe is 3.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'P5-3', 'probes'})",What are the minimum and maximum frequencies used by the ATL P5-3 probe?
306,The manufacturer of the P6-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P6-3', 'probes'})",Who is the manufacturer of the P6-3 probe?
307,The manufacturer of the P6-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P6-3', 'probes'})",What type of applications can the P6-3 probe be used for?
308,The manufacturer of the P6-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P6-3', 'probes'})",Is the manufacturer of the P6-3 probe ATL?
309,The ATL P6-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'P6-3', 'HDI 5000', 'ATL', 'probes', 'compatibility'})",What systems is the ATL P6-3 probe compatible with?
310,The ATL P6-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'P6-3', 'HDI 5000', 'ATL', 'probes', 'compatibility'})",Is the ATL P6-3 probe suitable for cardiac applications?
311,The ATL P6-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'P6-3', 'HDI 5000', 'ATL', 'probes', 'compatibility'})",Can you find the ATL P6-3 probe in stock and available for sale?
312,The ATL P6-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P6-3', 'probes'})",What type of transducer is the ATL P6-3?
313,The ATL P6-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P6-3', 'probes'})",Is the ATL P6-3 probe suitable for cardiac applications?
314,The ATL P6-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P6-3', 'probes'})",What type of array does the ATL P6-3 use?
315,"The ATL P6-3 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'P6-3', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",What types of applications is the ATL P6-3 probe suitable for?
316,"The ATL P6-3 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'P6-3', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",Can the ATL P6-3 probe be used for cardiac applications?
317,"The ATL P6-3 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'P6-3', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",What other types of applications does the ATL P6-3 probe support?
318,The ATL P6-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P6-3', 'stock', 'probes'})",Is the ATL P6-3 probe currently available for sale?
319,The ATL P6-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P6-3', 'stock', 'probes'})",What type of applications is the ATL P6-3 probe suitable for?
320,The ATL P6-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P6-3', 'stock', 'probes'})",Why is the ATL P6-3 probe not available for purchase?
321,The frequency range of the ATL P6-3 probe is 3.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'P6-3', 'probes'})",What is the frequency range of the ATL P6-3 probe?
322,The frequency range of the ATL P6-3 probe is 3.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'P6-3', 'probes'})",Is the frequency range of the ATL P6-3 probe greater than 6.0 MHz?
323,The frequency range of the ATL P6-3 probe is 3.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'P6-3', 'probes'})",Does the frequency range of the ATL P6-3 probe exceed 10.0 MHz?
324,The manufacturer of the P7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P7-4', 'probes'})",Who is the manufacturer of the P7-4 probe?
325,The manufacturer of the P7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P7-4', 'probes'})",Is the manufacturer of the P7-4 probe also the maker of the C3 transducer?
326,The manufacturer of the P7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P7-4', 'probes'})",Does the manufacturer of the P7-4 probe make the C3 probe?
327,The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",What systems is the ATL P7-4 probe compatible with?
328,The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",Is the ATL P7-4 probe suitable for a particular type of medical imaging?
329,The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",Can the ATL P7-4 probe be used with the HDI 5000 system?
330,The ATL P7-4 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P7-4', 'probes'})",What type of array is the ATL P7-4?
331,The ATL P7-4 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P7-4', 'probes'})",Is the ATL P7-4 probe a phased array type?
332,The ATL P7-4 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P7-4', 'probes'})",What kind of transducer is the ATL P7-4?
333,"The ATL P7-4 probe is suitable for the following applications: cardiac, vascular.","frozenset({'cardiac, vascular', 'ATL', 'probes', 'P7-4', 'applications'})",What applications is the ATL P7-4 probe suitable for?
334,"The ATL P7-4 probe is suitable for the following applications: cardiac, vascular.","frozenset({'cardiac, vascular', 'ATL', 'probes', 'P7-4', 'applications'})",Can the ATL P7-4 probe be used for vascular applications?
335,"The ATL P7-4 probe is suitable for the following applications: cardiac, vascular.","frozenset({'cardiac, vascular', 'ATL', 'probes', 'P7-4', 'applications'})",Is the ATL P7-4 probe suitable for cardiac purposes?
336,The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",Is the ATL P7-4 probe currently available for sale?
337,The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",What is the status of the ATL P7-4 probe's availability?
338,The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",Can you purchase the ATL P7-4 probe?
339,The frequency range of the ATL P7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'P7-4', 'probes'})",What is the frequency range of the ATL P7-4 probe?
340,The frequency range of the ATL P7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'P7-4', 'probes'})",Is the frequency range of the ATL P7-4 probe greater than or equal to 5.0 MHz?
341,The frequency range of the ATL P7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'P7-4', 'probes'})",What is the maximum frequency of the ATL P7-4 probe?
342,The manufacturer of the 227s probe is G.E..,"frozenset({'G.E.', 'manufacturer', '227s', 'probes'})",Who manufactures the 227s probe?
343,The manufacturer of the 227s probe is G.E..,"frozenset({'G.E.', 'manufacturer', '227s', 'probes'})",Is the manufacturer of the 227s probe also known as General Electric?
344,The manufacturer of the 227s probe is G.E..,"frozenset({'G.E.', 'manufacturer', '227s', 'probes'})",What company produces the 227s transducer?
345,The G.E. 227s probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '227s'})",What systems are compatible with the G.E. 227s probe?
346,The G.E. 227s probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '227s'})",Is the G.E. 227s transducer compatible with the LOGIQ 700 system?
347,The G.E. 227s probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '227s'})",What systems does the G.E. 227s probe work with?
348,The G.E. 227s is a phased array type probe.,"frozenset({'G.E.', 'array type', '227s', 'probes'})",What type of probe is the G.E. 227s?
349,The G.E. 227s is a phased array type probe.,"frozenset({'G.E.', 'array type', '227s', 'probes'})",Is the G.E. 227s suitable for phased array applications?
350,The G.E. 227s is a phased array type probe.,"frozenset({'G.E.', 'array type', '227s', 'probes'})",Does the G.E. 227s use a phased array technology?
351,"The G.E. 227s probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'cardiac, vascular, general', 'G.E.', 'probes', 'applications', '227s'})",What applications is the G.E. 227s probe suitable for?
352,"The G.E. 227s probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'cardiac, vascular, general', 'G.E.', 'probes', 'applications', '227s'})",Can the G.E. 227s probe be used for cardiac applications?
353,"The G.E. 227s probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'cardiac, vascular, general', 'G.E.', 'probes', 'applications', '227s'})",What types of uses does the G.E. 227s transducer support?
354,The G.E. 227s probe is currently in stock and available for sale.,"frozenset({'G.E.', '227s', 'stock', 'probes'})",Do you have any G.E. 227s probes for sale?
355,The G.E. 227s probe is currently in stock and available for sale.,"frozenset({'G.E.', '227s', 'stock', 'probes'})",Are the G.E. 227s transducers currently in stock?
356,The G.E. 227s probe is currently in stock and available for sale.,"frozenset({'G.E.', '227s', 'stock', 'probes'})",Is the G.E. 227s probe available for purchase?
357,The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",What is the frequency range of the G.E. 227s probe?
358,The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",Does the frequency range of the G.E. 227s probe exceed 4.0 MHz?
359,The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",Is the frequency range of the G.E. 227s probe between 2.0 and 10.0 MHz?
360,The manufacturer of the 348c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '348c', 'probes'})",Who is the manufacturer of the 348c probe?
361,The manufacturer of the 348c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '348c', 'probes'})",Is the 348c probe made by General Electric (G.E.)?
362,The manufacturer of the 348c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '348c', 'probes'})",Does the 348c probe have a manufacturer from G.E.?
363,The G.E. 348c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '348c'})",What systems are compatible with the G.E. 348c probe?
364,The G.E. 348c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '348c'})",Is the G.E. 348c probe compatible with the LOGIQ 700 system?
365,The G.E. 348c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '348c'})",Which ultrasound machine is the G.E. 348c transducer designed to work with?
366,The G.E. 348c is a convex array type probe.,"frozenset({'G.E.', 'array type', '348c', 'probes'})",What type of probe is the G.E. 348c?
367,The G.E. 348c is a convex array type probe.,"frozenset({'G.E.', 'array type', '348c', 'probes'})",Is the G.E. 348c transducer a convex array?
368,The G.E. 348c is a convex array type probe.,"frozenset({'G.E.', 'array type', '348c', 'probes'})",What kind of array does the G.E. 348c use?
369,"The G.E. 348c probe is suitable for the following applications: abdominal, obstetric, gynecological.","frozenset({'G.E.', 'probes', '348c', 'applications', 'abdominal, obstetric, gynecological'})",What applications is the G.E. 348c probe suitable for?
370,"The G.E. 348c probe is suitable for the following applications: abdominal, obstetric, gynecological.","frozenset({'G.E.', 'probes', '348c', 'applications', 'abdominal, obstetric, gynecological'})",Can the G.E. 348c probe be used for obstetric purposes?
371,"The G.E. 348c probe is suitable for the following applications: abdominal, obstetric, gynecological.","frozenset({'G.E.', 'probes', '348c', 'applications', 'abdominal, obstetric, gynecological'})",Is the G.E. 348c probe used in gynecological examinations?
372,The G.E. 348c probe is currently in stock and available for sale.,"frozenset({'G.E.', '348c', 'stock', 'probes'})",Do you have any 348c probes by G.E. for sale?
373,The G.E. 348c probe is currently in stock and available for sale.,"frozenset({'G.E.', '348c', 'stock', 'probes'})",Is the G.E. 348c probe currently in stock?
374,The G.E. 348c probe is currently in stock and available for sale.,"frozenset({'G.E.', '348c', 'stock', 'probes'})",Are there any G.E. 348c transducers available?
375,The frequency range of the G.E. 348c probe is 2.5 - 3.75 MHz.,"frozenset({'G.E.', 'frequency', '348c', 'probes'})",What is the frequency range of the G.E. 348c probe?
376,The frequency range of the G.E. 348c probe is 2.5 - 3.75 MHz.,"frozenset({'G.E.', 'frequency', '348c', 'probes'})",Does the frequency range of the G.E. 348c probe include a minimum frequency of 2.5 MHz?
377,The frequency range of the G.E. 348c probe is 2.5 - 3.75 MHz.,"frozenset({'G.E.', 'frequency', '348c', 'probes'})",Is the maximum frequency of the G.E. 348c probe 3.75 MHz?
378,The manufacturer of the 618c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '618c', 'probes'})",Who manufactures the 618c probe?
379,The manufacturer of the 618c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '618c', 'probes'})",Is the G.E. 618c probe compatible with any specific systems?
380,The manufacturer of the 618c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '618c', 'probes'})",Can the 618c probe be used for general applications?
381,The G.E. 618c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'618c', 'G.E.', 'LOGIQ 700', 'probes', 'compatibility'})",What systems are compatible with the G.E. 618c probe?
382,The G.E. 618c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'618c', 'G.E.', 'LOGIQ 700', 'probes', 'compatibility'})",Does the G.E. 618c probe work with the LOGIQ 700 system?
383,The G.E. 618c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'618c', 'G.E.', 'LOGIQ 700', 'probes', 'compatibility'})",Is the G.E. 618c transducer compatible with the LOGIQ 700 system?
384,The G.E. 618c is a micro convex array type probe.,"frozenset({'G.E.', 'array type', '618c', 'probes'})",What kind of array type is the G.E. 618c?
385,The G.E. 618c is a micro convex array type probe.,"frozenset({'G.E.', 'array type', '618c', 'probes'})",Is the G.E. 618c suitable for use as a micro probe?
386,The G.E. 618c is a micro convex array type probe.,"frozenset({'G.E.', 'array type', '618c', 'probes'})",Does the G.E. 618c have a convex array?
387,"The G.E. 618c probe is suitable for the following applications: breast, musculoskeletal, small parts, vascular.","frozenset({'618c', 'breast, musculoskeletal, small parts, vascular', 'G.E.', 'probes', 'applications'})",What applications is the G.E. 618c probe suitable for?
388,"The G.E. 618c probe is suitable for the following applications: breast, musculoskeletal, small parts, vascular.","frozenset({'618c', 'breast, musculoskeletal, small parts, vascular', 'G.E.', 'probes', 'applications'})",Can the G.E. 618c probe be used for breast imaging?
389,"The G.E. 618c probe is suitable for the following applications: breast, musculoskeletal, small parts, vascular.","frozenset({'618c', 'breast, musculoskeletal, small parts, vascular', 'G.E.', 'probes', 'applications'})",Is the G.E. 618c probe suitable for small parts imaging?
390,The G.E. 618c probe is currently in stock and available for sale.,"frozenset({'G.E.', '618c', 'stock', 'probes'})",Do you have any G.E. 618c probes available for sale?
391,The G.E. 618c probe is currently in stock and available for sale.,"frozenset({'G.E.', '618c', 'stock', 'probes'})",Is the G.E. 618c probe currently in stock?
392,The G.E. 618c probe is currently in stock and available for sale.,"frozenset({'G.E.', '618c', 'stock', 'probes'})",Are there any G.E. 618c transducers for sale?
393,The frequency range of the G.E. 618c probe is 5.0 - 6.0 MHz.,"frozenset({'G.E.', '618c', 'frequency', 'probes'})",What is the frequency range of the G.E. 618c probe?
394,The frequency range of the G.E. 618c probe is 5.0 - 6.0 MHz.,"frozenset({'G.E.', '618c', 'frequency', 'probes'})",Is the frequency range of the G.E. 618c transducer greater than 6.0 MHz?
395,The frequency range of the G.E. 618c probe is 5.0 - 6.0 MHz.,"frozenset({'G.E.', '618c', 'frequency', 'probes'})",Does the G.E. 618c probe operate within a frequency range of 5.0 - 6.0 MHz?
396,The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",Who manufactures the RAB2-5L probe?
397,The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",Is the RAB2-5L probe currently available for sale?
398,The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",What manufacturer produces the RAB2-5L transducer?
399,"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",What systems is the G.E. RAB2-5L probe compatible with?
400,"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",Is the G.E. RAB2-5L probe suitable for use with the Voluson 730 Pro system?
401,"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",Does the G.E. RAB2-5L transducer support the Voluson 730 system?
402,The G.E. RAB2-5L is a convex array type probe.,"frozenset({'G.E.', 'array type', 'RAB2-5L', 'probes'})",What type of array is the G.E. RAB2-5L probe?
403,The G.E. RAB2-5L is a convex array type probe.,"frozenset({'G.E.', 'array type', 'RAB2-5L', 'probes'})",Is the G.E. RAB2-5L probe in stock and available for sale?
404,The G.E. RAB2-5L is a convex array type probe.,"frozenset({'G.E.', 'array type', 'RAB2-5L', 'probes'})",What frequency range does the G.E. RAB2-5L transducer operate on?
405,"The G.E. RAB2-5L probe is suitable for the following applications: abdominal, obstetric.","frozenset({'G.E.', 'probes', 'applications', 'RAB2-5L', 'abdominal, obstetric'})",What applications is the G.E. RAB2-5L probe suitable for?
406,"The G.E. RAB2-5L probe is suitable for the following applications: abdominal, obstetric.","frozenset({'G.E.', 'probes', 'applications', 'RAB2-5L', 'abdominal, obstetric'})",Is the G.E. RAB2-5L probe available for sale?
407,"The G.E. RAB2-5L probe is suitable for the following applications: abdominal, obstetric.","frozenset({'G.E.', 'probes', 'applications', 'RAB2-5L', 'abdominal, obstetric'})",Can the G.E. RAB2-5L probe be used in obstetric procedures?
408,The G.E. RAB2-5L probe is currently in stock and available for sale.,"frozenset({'G.E.', 'RAB2-5L', 'stock', 'probes'})",Do you have any G.E. RAB2-5L probes currently available for sale?
