content,tags,question,score
The frequency range of the ATL P4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'ATL', 'P4-1', 'frequency', 'probes'})",Is the frequency range of the ATL P4-1 probe above 4.0 MHz?,0
The frequency range of the ATL P4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'ATL', 'P4-1', 'frequency', 'probes'})",What is the minimum frequency range of the ATL P4-1 probe?,1
The manufacturer of the P4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-2', 'probes'})",Who is the manufacturer of the P4-2 probe?,1
The manufacturer of the P4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-2', 'probes'})",Can the P4-2 probe be used for cardiac applications?,0
The manufacturer of the P4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-2', 'probes'})",Is the manufacturer of the P4-2 probe ATL?,1
The ATL P4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P4-2', 'ATL', 'probes', 'compatibility'})",What systems are compatible with the ATL P4-2 probe?,1
The ATL P4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P4-2', 'ATL', 'probes', 'compatibility'})",Is the ATL P4-2 probe suitable for use with the HDI 5000 system?,1
The ATL P4-2 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P4-2', 'ATL', 'probes', 'compatibility'})",Can you find the ATL P4-2 transducer on stock?,1
The ATL P4-2 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P4-2', 'probes'})",What type of array is the ATL P4-2?,1
The ATL P4-2 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P4-2', 'probes'})",Is the ATL P4-2 probe a phased array transducer?,1
The ATL P4-2 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P4-2', 'probes'})",What kind of array does the ATL P4-2 use?,1
"The ATL P4-2 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'P4-2', 'ATL', 'probes', 'applications'})",What applications is the ATL P4-2 probe suitable for?,1
"The ATL P4-2 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'P4-2', 'ATL', 'probes', 'applications'})",Can the ATL P4-2 probe be used for cardiac applications?,1
"The ATL P4-2 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'P4-2', 'ATL', 'probes', 'applications'})",What type of probes does the ATL P4-2 fall under?,1
The ATL P4-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P4-2', 'probes'})",Is the ATL P4-2 probe currently available for sale?,0
The ATL P4-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P4-2', 'probes'})",What is the availability status of the ATL P4-2 probe?,1
The ATL P4-2 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P4-2', 'probes'})",Are there any ATL P4-2 probes available for purchase?,0
The frequency range of the ATL P4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'P4-2', 'probes'})",What is the frequency range of the ATL P4-2 probe?,1
The frequency range of the ATL P4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'P4-2', 'probes'})",Is the frequency range of the ATL P4-2 transducer above or below 5.0 MHz?,0
The frequency range of the ATL P4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'ATL', 'frequency', 'P4-2', 'probes'})",What is the minimum frequency range of the ATL P4-2 probe?,1
The manufacturer of the P5-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P5-3', 'probes'})",Who is the manufacturer of the P5-3 probe?,1
The manufacturer of the P5-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P5-3', 'probes'})",Can the P5-3 probe be used for cardiac applications?,1
The manufacturer of the P5-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P5-3', 'probes'})",Is the manufacturer of the P5-3 probe ATL?,1
The ATL P5-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P5-3', 'ATL', 'probes', 'compatibility'})",What systems is the ATL P5-3 probe compatible with?,1
The ATL P5-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P5-3', 'ATL', 'probes', 'compatibility'})",Is the ATL P5-3 probe compatible with the HDI 5000 system?,1
The ATL P5-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'P5-3', 'ATL', 'probes', 'compatibility'})",Does the ATL P5-3 transducer support the HDI 5000 platform?,1
The ATL P5-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P5-3', 'probes'})",What type of array is the ATL P5-3 probe?,1
The ATL P5-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P5-3', 'probes'})",Is the ATL P5-3 probe suitable for cardiac applications?,0
The ATL P5-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P5-3', 'probes'})",What kind of transducer is the ATL P5-3?,1
"The ATL P5-3 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'P5-3', 'ATL', 'probes', 'applications', 'cardiac, abdominal'})",What applications is the ATL P5-3 probe suitable for?,1
"The ATL P5-3 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'P5-3', 'ATL', 'probes', 'applications', 'cardiac, abdominal'})",Can the ATL P5-3 probe be used for abdominal imaging?,1
"The ATL P5-3 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'P5-3', 'ATL', 'probes', 'applications', 'cardiac, abdominal'})",What types of images does the ATL P5-3 probe produce?,1
The ATL P5-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P5-3', 'stock', 'probes'})",Is the ATL P5-3 probe currently available for sale?,0
The ATL P5-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P5-3', 'stock', 'probes'})",What type of transducer is the ATL P5-3?,1
The ATL P5-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P5-3', 'stock', 'probes'})",Is the ATL P5-3 probe out of stock?,1
The frequency range of the ATL P5-3 probe is 3.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'P5-3', 'probes'})",What is the frequency range of the ATL P5-3 probe?,1
The frequency range of the ATL P5-3 probe is 3.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'P5-3', 'probes'})",Is the frequency range of the ATL P5-3 transducer within a certain range?,1
The frequency range of the ATL P5-3 probe is 3.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'P5-3', 'probes'})",What are the minimum and maximum frequencies used by the ATL P5-3 probe?,1
The manufacturer of the P6-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P6-3', 'probes'})",Who is the manufacturer of the P6-3 probe?,1
The manufacturer of the P6-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P6-3', 'probes'})",What type of applications can the P6-3 probe be used for?,0
The manufacturer of the P6-3 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P6-3', 'probes'})",Is the manufacturer of the P6-3 probe ATL?,1
The ATL P6-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'P6-3', 'HDI 5000', 'ATL', 'probes', 'compatibility'})",What systems is the ATL P6-3 probe compatible with?,1
The ATL P6-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'P6-3', 'HDI 5000', 'ATL', 'probes', 'compatibility'})",Is the ATL P6-3 probe suitable for cardiac applications?,0
The ATL P6-3 probe is compatible with the following systems: HDI 5000.,"frozenset({'P6-3', 'HDI 5000', 'ATL', 'probes', 'compatibility'})",Can you find the ATL P6-3 probe in stock and available for sale?,1
The ATL P6-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P6-3', 'probes'})",What type of transducer is the ATL P6-3?,1
The ATL P6-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P6-3', 'probes'})",Is the ATL P6-3 probe suitable for cardiac applications?,0
The ATL P6-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P6-3', 'probes'})",What type of array does the ATL P6-3 use?,1
"The ATL P6-3 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'P6-3', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",What types of applications is the ATL P6-3 probe suitable for?,1
"The ATL P6-3 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'P6-3', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",Can the ATL P6-3 probe be used for cardiac applications?,1
"The ATL P6-3 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'P6-3', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",What other types of applications does the ATL P6-3 probe support?,1
The ATL P6-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P6-3', 'stock', 'probes'})",Is the ATL P6-3 probe currently available for sale?,0
The ATL P6-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P6-3', 'stock', 'probes'})",What type of applications is the ATL P6-3 probe suitable for?,0
The ATL P6-3 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'P6-3', 'stock', 'probes'})",Why is the ATL P6-3 probe not available for purchase?,1
The frequency range of the ATL P6-3 probe is 3.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'P6-3', 'probes'})",What is the frequency range of the ATL P6-3 probe?,1
The frequency range of the ATL P6-3 probe is 3.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'P6-3', 'probes'})",Is the frequency range of the ATL P6-3 probe greater than 6.0 MHz?,0
The frequency range of the ATL P6-3 probe is 3.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'P6-3', 'probes'})",Does the frequency range of the ATL P6-3 probe exceed 10.0 MHz?,0
The manufacturer of the P7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P7-4', 'probes'})",Who is the manufacturer of the P7-4 probe?,1
The manufacturer of the P7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P7-4', 'probes'})",Is the manufacturer of the P7-4 probe also the maker of the C3 transducer?,1
The manufacturer of the P7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P7-4', 'probes'})",Does the manufacturer of the P7-4 probe make the C3 probe?,0
The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",What systems is the ATL P7-4 probe compatible with?,1
The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",Is the ATL P7-4 probe suitable for a particular type of medical imaging?,1
The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",Can the ATL P7-4 probe be used with the HDI 5000 system?,1
The ATL P7-4 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P7-4', 'probes'})",What type of array is the ATL P7-4?,1
The ATL P7-4 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P7-4', 'probes'})",Is the ATL P7-4 probe a phased array type?,1
The ATL P7-4 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P7-4', 'probes'})",What kind of transducer is the ATL P7-4?,1
"The ATL P7-4 probe is suitable for the following applications: cardiac, vascular.","frozenset({'cardiac, vascular', 'ATL', 'probes', 'P7-4', 'applications'})",What applications is the ATL P7-4 probe suitable for?,1
"The ATL P7-4 probe is suitable for the following applications: cardiac, vascular.","frozenset({'cardiac, vascular', 'ATL', 'probes', 'P7-4', 'applications'})",Can the ATL P7-4 probe be used for vascular applications?,1
"The ATL P7-4 probe is suitable for the following applications: cardiac, vascular.","frozenset({'cardiac, vascular', 'ATL', 'probes', 'P7-4', 'applications'})",Is the ATL P7-4 probe suitable for cardiac purposes?,1
The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",Is the ATL P7-4 probe currently available for sale?,0
The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",What is the status of the ATL P7-4 probe's availability?,1
The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",Can you purchase the ATL P7-4 probe?,0
The frequency range of the ATL P7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'P7-4', 'probes'})",What is the frequency range of the ATL P7-4 probe?,1
The frequency range of the ATL P7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'P7-4', 'probes'})",Is the frequency range of the ATL P7-4 probe greater than or equal to 5.0 MHz?,1
The frequency range of the ATL P7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'P7-4', 'probes'})",What is the maximum frequency of the ATL P7-4 probe?,1
The manufacturer of the 227s probe is G.E..,"frozenset({'G.E.', 'manufacturer', '227s', 'probes'})",Who manufactures the 227s probe?,1
The manufacturer of the 227s probe is G.E..,"frozenset({'G.E.', 'manufacturer', '227s', 'probes'})",Is the manufacturer of the 227s probe also known as General Electric?,1
The manufacturer of the 227s probe is G.E..,"frozenset({'G.E.', 'manufacturer', '227s', 'probes'})",What company produces the 227s transducer?,1
The G.E. 227s probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '227s'})",What systems are compatible with the G.E. 227s probe?,1
The G.E. 227s probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '227s'})",Is the G.E. 227s transducer compatible with the LOGIQ 700 system?,1
The G.E. 227s probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '227s'})",What systems does the G.E. 227s probe work with?,1
The G.E. 227s is a phased array type probe.,"frozenset({'G.E.', 'array type', '227s', 'probes'})",What type of probe is the G.E. 227s?,1
The G.E. 227s is a phased array type probe.,"frozenset({'G.E.', 'array type', '227s', 'probes'})",Is the G.E. 227s suitable for phased array applications?,1
The G.E. 227s is a phased array type probe.,"frozenset({'G.E.', 'array type', '227s', 'probes'})",Does the G.E. 227s use a phased array technology?,1
"The G.E. 227s probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'cardiac, vascular, general', 'G.E.', 'probes', 'applications', '227s'})",What applications is the G.E. 227s probe suitable for?,1
"The G.E. 227s probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'cardiac, vascular, general', 'G.E.', 'probes', 'applications', '227s'})",Can the G.E. 227s probe be used for cardiac applications?,1
"The G.E. 227s probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'cardiac, vascular, general', 'G.E.', 'probes', 'applications', '227s'})",What types of uses does the G.E. 227s transducer support?,1
The G.E. 227s probe is currently in stock and available for sale.,"frozenset({'G.E.', '227s', 'stock', 'probes'})",Do you have any G.E. 227s probes for sale?,1
The G.E. 227s probe is currently in stock and available for sale.,"frozenset({'G.E.', '227s', 'stock', 'probes'})",Are the G.E. 227s transducers currently in stock?,1
The G.E. 227s probe is currently in stock and available for sale.,"frozenset({'G.E.', '227s', 'stock', 'probes'})",Is the G.E. 227s probe available for purchase?,1
The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",What is the frequency range of the G.E. 227s probe?,1
The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",Does the frequency range of the G.E. 227s probe exceed 4.0 MHz?,0
The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",Is the frequency range of the G.E. 227s probe between 2.0 and 10.0 MHz?,0
The manufacturer of the 348c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '348c', 'probes'})",Who is the manufacturer of the 348c probe?,1
The manufacturer of the 348c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '348c', 'probes'})",Is the 348c probe made by General Electric (G.E.)?,1
The manufacturer of the 348c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '348c', 'probes'})",Does the 348c probe have a manufacturer from G.E.?,1
The G.E. 348c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '348c'})",What systems are compatible with the G.E. 348c probe?,1
The G.E. 348c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '348c'})",Is the G.E. 348c probe compatible with the LOGIQ 700 system?,1
The G.E. 348c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'G.E.', 'LOGIQ 700', 'probes', 'compatibility', '348c'})",Which ultrasound machine is the G.E. 348c transducer designed to work with?,1
The G.E. 348c is a convex array type probe.,"frozenset({'G.E.', 'array type', '348c', 'probes'})",What type of probe is the G.E. 348c?,1
The G.E. 348c is a convex array type probe.,"frozenset({'G.E.', 'array type', '348c', 'probes'})",Is the G.E. 348c transducer a convex array?,1
The G.E. 348c is a convex array type probe.,"frozenset({'G.E.', 'array type', '348c', 'probes'})",What kind of array does the G.E. 348c use?,1
"The G.E. 348c probe is suitable for the following applications: abdominal, obstetric, gynecological.","frozenset({'G.E.', 'probes', '348c', 'applications', 'abdominal, obstetric, gynecological'})",What applications is the G.E. 348c probe suitable for?,1
"The G.E. 348c probe is suitable for the following applications: abdominal, obstetric, gynecological.","frozenset({'G.E.', 'probes', '348c', 'applications', 'abdominal, obstetric, gynecological'})",Can the G.E. 348c probe be used for obstetric purposes?,1
"The G.E. 348c probe is suitable for the following applications: abdominal, obstetric, gynecological.","frozenset({'G.E.', 'probes', '348c', 'applications', 'abdominal, obstetric, gynecological'})",Is the G.E. 348c probe used in gynecological examinations?,1
The G.E. 348c probe is currently in stock and available for sale.,"frozenset({'G.E.', '348c', 'stock', 'probes'})",Do you have any 348c probes by G.E. for sale?,1
The G.E. 348c probe is currently in stock and available for sale.,"frozenset({'G.E.', '348c', 'stock', 'probes'})",Is the G.E. 348c probe currently in stock?,1
The G.E. 348c probe is currently in stock and available for sale.,"frozenset({'G.E.', '348c', 'stock', 'probes'})",Are there any G.E. 348c transducers available?,1
The frequency range of the G.E. 348c probe is 2.5 - 3.75 MHz.,"frozenset({'G.E.', 'frequency', '348c', 'probes'})",What is the frequency range of the G.E. 348c probe?,1
The frequency range of the G.E. 348c probe is 2.5 - 3.75 MHz.,"frozenset({'G.E.', 'frequency', '348c', 'probes'})",Does the frequency range of the G.E. 348c probe include a minimum frequency of 2.5 MHz?,1
The frequency range of the G.E. 348c probe is 2.5 - 3.75 MHz.,"frozenset({'G.E.', 'frequency', '348c', 'probes'})",Is the maximum frequency of the G.E. 348c probe 3.75 MHz?,1
The manufacturer of the 618c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '618c', 'probes'})",Who manufactures the 618c probe?,1
The manufacturer of the 618c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '618c', 'probes'})",Is the G.E. 618c probe compatible with any specific systems?,1
The manufacturer of the 618c probe is G.E..,"frozenset({'G.E.', 'manufacturer', '618c', 'probes'})",Can the 618c probe be used for general applications?,1
The G.E. 618c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'618c', 'G.E.', 'LOGIQ 700', 'probes', 'compatibility'})",What systems are compatible with the G.E. 618c probe?,1
The G.E. 618c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'618c', 'G.E.', 'LOGIQ 700', 'probes', 'compatibility'})",Does the G.E. 618c probe work with the LOGIQ 700 system?,1
The G.E. 618c probe is compatible with the following systems: LOGIQ 700.,"frozenset({'618c', 'G.E.', 'LOGIQ 700', 'probes', 'compatibility'})",Is the G.E. 618c transducer compatible with the LOGIQ 700 system?,1
The G.E. 618c is a micro convex array type probe.,"frozenset({'G.E.', 'array type', '618c', 'probes'})",What kind of array type is the G.E. 618c?,1
The G.E. 618c is a micro convex array type probe.,"frozenset({'G.E.', 'array type', '618c', 'probes'})",Is the G.E. 618c suitable for use as a micro probe?,1
The G.E. 618c is a micro convex array type probe.,"frozenset({'G.E.', 'array type', '618c', 'probes'})",Does the G.E. 618c have a convex array?,1
"The G.E. 618c probe is suitable for the following applications: breast, musculoskeletal, small parts, vascular.","frozenset({'618c', 'breast, musculoskeletal, small parts, vascular', 'G.E.', 'probes', 'applications'})",What applications is the G.E. 618c probe suitable for?,1
"The G.E. 618c probe is suitable for the following applications: breast, musculoskeletal, small parts, vascular.","frozenset({'618c', 'breast, musculoskeletal, small parts, vascular', 'G.E.', 'probes', 'applications'})",Can the G.E. 618c probe be used for breast imaging?,1
"The G.E. 618c probe is suitable for the following applications: breast, musculoskeletal, small parts, vascular.","frozenset({'618c', 'breast, musculoskeletal, small parts, vascular', 'G.E.', 'probes', 'applications'})",Is the G.E. 618c probe suitable for small parts imaging?,1
The G.E. 618c probe is currently in stock and available for sale.,"frozenset({'G.E.', '618c', 'stock', 'probes'})",Do you have any G.E. 618c probes available for sale?,1
The G.E. 618c probe is currently in stock and available for sale.,"frozenset({'G.E.', '618c', 'stock', 'probes'})",Is the G.E. 618c probe currently in stock?,1
The G.E. 618c probe is currently in stock and available for sale.,"frozenset({'G.E.', '618c', 'stock', 'probes'})",Are there any G.E. 618c transducers for sale?,1
The frequency range of the G.E. 618c probe is 5.0 - 6.0 MHz.,"frozenset({'G.E.', '618c', 'frequency', 'probes'})",What is the frequency range of the G.E. 618c probe?,1
The frequency range of the G.E. 618c probe is 5.0 - 6.0 MHz.,"frozenset({'G.E.', '618c', 'frequency', 'probes'})",Is the frequency range of the G.E. 618c transducer greater than 6.0 MHz?,0
The frequency range of the G.E. 618c probe is 5.0 - 6.0 MHz.,"frozenset({'G.E.', '618c', 'frequency', 'probes'})",Does the G.E. 618c probe operate within a frequency range of 5.0 - 6.0 MHz?,1
The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",Who manufactures the RAB2-5L probe?,1
The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",Is the RAB2-5L probe currently available for sale?,0
The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",What manufacturer produces the RAB2-5L transducer?,1
"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",What systems is the G.E. RAB2-5L probe compatible with?,1
"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",Is the G.E. RAB2-5L probe suitable for use with the Voluson 730 Pro system?,1
"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",Does the G.E. RAB2-5L transducer support the Voluson 730 system?,1
The G.E. RAB2-5L is a convex array type probe.,"frozenset({'G.E.', 'array type', 'RAB2-5L', 'probes'})",What type of array is the G.E. RAB2-5L probe?,1
The G.E. RAB2-5L is a convex array type probe.,"frozenset({'G.E.', 'array type', 'RAB2-5L', 'probes'})",Is the G.E. RAB2-5L probe in stock and available for sale?,0
The G.E. RAB2-5L is a convex array type probe.,"frozenset({'G.E.', 'array type', 'RAB2-5L', 'probes'})",What frequency range does the G.E. RAB2-5L transducer operate on?,0
"The G.E. RAB2-5L probe is suitable for the following applications: abdominal, obstetric.","frozenset({'G.E.', 'probes', 'applications', 'RAB2-5L', 'abdominal, obstetric'})",What applications is the G.E. RAB2-5L probe suitable for?,1
"The G.E. RAB2-5L probe is suitable for the following applications: abdominal, obstetric.","frozenset({'G.E.', 'probes', 'applications', 'RAB2-5L', 'abdominal, obstetric'})",Is the G.E. RAB2-5L probe available for sale?,1
"The G.E. RAB2-5L probe is suitable for the following applications: abdominal, obstetric.","frozenset({'G.E.', 'probes', 'applications', 'RAB2-5L', 'abdominal, obstetric'})",Can the G.E. RAB2-5L probe be used in obstetric procedures?,1
The G.E. RAB2-5L probe is currently in stock and available for sale.,"frozenset({'G.E.', 'RAB2-5L', 'stock', 'probes'})",Do you have any G.E. RAB2-5L probes currently available for sale?,1
The G.E. RAB2-5L probe is currently in stock and available for sale.,"frozenset({'G.E.', 'RAB2-5L', 'stock', 'probes'})",Is the G.E. RAB2-5L probe currently in stock?,1
The G.E. RAB2-5L probe is currently in stock and available for sale.,"frozenset({'G.E.', 'RAB2-5L', 'stock', 'probes'})",Are there any G.E. RAB2-5L transducers available for purchase?,1
The frequency range of the G.E. RAB2-5L probe is 2.5 - 5.0 MHz.,"frozenset({'G.E.', 'frequency', 'RAB2-5L', 'probes'})",What is the frequency range of the G.E. RAB2-5L probe?,1
The frequency range of the G.E. RAB2-5L probe is 2.5 - 5.0 MHz.,"frozenset({'G.E.', 'frequency', 'RAB2-5L', 'probes'})",Is the frequency range of the G.E. RAB2-5L probe greater than 5.0 MHz?,0
The frequency range of the G.E. RAB2-5L probe is 2.5 - 5.0 MHz.,"frozenset({'G.E.', 'frequency', 'RAB2-5L', 'probes'})",What is the minimum frequency value in the range of the G.E. RAB2-5L probe?,1
The manufacturer of the RIC5-9D probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RIC5-9D', 'probes'})",Who is the manufacturer of the RIC5-9D probe?,1
The manufacturer of the RIC5-9D probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RIC5-9D', 'probes'})",What systems are compatible with the G.E. RIC5-9D probe?,1
The manufacturer of the RIC5-9D probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RIC5-9D', 'probes'})",Is the G.E. RIC5-9D transducer compatible with the LOGIQ S7 system?,1
"The G.E. RIC5-9D probe is compatible with the following systems: Voluson E6, Voluson E8, Voluson E10, LOGIQ S7, LOGIQ S8, Vivid E95, LOGIQ E9, LOGIQ E10.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson E6, Voluson E8, Voluson E10, LOGIQ S7, LOGIQ S8, Vivid E95, LOGIQ E9, LOGIQ E10', 'RIC5-9D'})",What systems is the G.E. RIC5-9D probe compatible with?,1
"The G.E. RIC5-9D probe is compatible with the following systems: Voluson E6, Voluson E8, Voluson E10, LOGIQ S7, LOGIQ S8, Vivid E95, LOGIQ E9, LOGIQ E10.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson E6, Voluson E8, Voluson E10, LOGIQ S7, LOGIQ S8, Vivid E95, LOGIQ E9, LOGIQ E10', 'RIC5-9D'})",Does the G.E. RIC5-9D probe work with the Voluson E6 system?,1
"The G.E. RIC5-9D probe is compatible with the following systems: Voluson E6, Voluson E8, Voluson E10, LOGIQ S7, LOGIQ S8, Vivid E95, LOGIQ E9, LOGIQ E10.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson E6, Voluson E8, Voluson E10, LOGIQ S7, LOGIQ S8, Vivid E95, LOGIQ E9, LOGIQ E10', 'RIC5-9D'})",Is the G.E. RIC5-9D transducer compatible with the LOGIQ S7 system?,1
The G.E. RIC5-9D is a micro convex array type probe.,"frozenset({'G.E.', 'array type', 'RIC5-9D', 'probes'})",What kind of array type is the G.E. RIC5-9D probe?,1
The G.E. RIC5-9D is a micro convex array type probe.,"frozenset({'G.E.', 'array type', 'RIC5-9D', 'probes'})",Is the G.E. RIC5-9D transducer suitable for use with the Voluson E6 system?,1
The G.E. RIC5-9D is a micro convex array type probe.,"frozenset({'G.E.', 'array type', 'RIC5-9D', 'probes'})",Can the G.E. RIC5-9D probe be classified as a micro convex array type probe?,1
